제품 이름,평점,판매 회사,날짜,제목,내용
삼성전자 갤럭시탭S7 FE (SM-T733N) Wi-Fi 64GB,5,삼성공식파트너 엠피나비,22.02.12.,"핑크+실버+라벤더 섞인 느낌?? 사진이 실물을 정말 못담는데 실제로는 더 예뻐요.. 핸드폰을 아이폰 쓰다가 이번에 Z플립3라벤더로 바꾸면서, 갤럭시탭도 샀는데 둘이 호환되어서 넘","핑크+실버+라벤더 섞인 느낌?? 사진이 실물을 정말 못담는데 실제로는 더 예뻐요.. 핸드폰을 아이폰 쓰다가 이번에 Z플립3라벤더로 바꾸면서, 갤럭시탭도 샀는데 둘이 호환되어서 넘 편하고, 색도 둘이 잘어울려서 기분 좋아요 ㅎㅎ 삼성이 예전에 비해 색도 잘 뽑네용! 예쁘고 기능 좋고 배송도 거의 하루이틀만에 왔습니다 ♡"
삼성전자 갤럭시탭S7 FE (SM-T733N) Wi-Fi 64GB,5,삼성공식파트너 포디아이,21.11.02.,주말 주문+지방 감안해도 늦지않게 배송 잘 왔음택배상자 안에 뽁뽁이 한겹에만 싸여오긴 했는데 제품박스 자체에 충격방지 처리가 되어 있어서 그런지 제품은 흠집없이 잘 왔음. 쿠폰과,"주말 주문+지방 감안해도 늦지않게 배송 잘 왔음
택배상자 안에 뽁뽁이 한겹에만 싸여오긴 했는데 제품박스 자체에 충격방지 처리가 되어 있어서 그런지 제품은 흠집없이 잘 왔음.
쿠폰과 네이버페이포인트 적립까지 합해서 최대로 저렴한 가격으로"
삼성전자 갤럭시탭S7 FE (SM-T733N) Wi-Fi 64GB,2,옥션,21.10.08.,처음 물건을 받았을때 박스의 옆이 손상이 있어 액덩은 ...,"처음 물건을 받았을때 박스의 옆이 손상이 있어 액덩은 괜찮아 사용하려고 하는데 충전 중에 회면이 표시돼 구입 한곳에 문의하니 제품 하자라 서비스센터에 제품 하자를 인정하면 교환가능 하다고 했어 열일 제쳐두고 서비스 센터 같지만 와이파이 용은 하자증을 줄 수 없고 반납 처리밖에 안됐어 생고생 하고 나중에 서비스 센터에서 박스가 심하게 손상됐어 나를 의심했어 처음 제품 받은 사람이 박스를 이렇게 뜬는 사람이 있나고 하니 인정하여 환불처리 받음
전자제품 여러번 구입했지만 고생 무지했네요 ㅠㅠ"
삼성전자 갤럭시탭S7 FE (SM-T733N) Wi-Fi 64GB,5,삼성공식파트너 포디아이,21.11.22.,싸고 좋습니다 역시 삼성제품이라그런지 얇고 가볍고 크기도 커서 필기용으로 딱좋습니다. 하지만 고화질 영상을본다든지. 게임을하기에는 적합하지않고 인강이나 공부용으로는 딱좋은것같습니다,"싸고 좋습니다 역시 삼성제품이라그런지 얇고 가볍고 크기도 커서 필기용으로 딱좋습니다. 하지만 고화질 영상을본다든지. 게임을하기에는 적합하지않고 인강이나 공부용으로는 딱좋은것같습니다.
저럼하게 FE용으로 그리고 혜택좋은기간에 잘삿네요 굳"
삼성전자 갤럭시탭S7 FE (SM-T733N) Wi-Fi 64GB,5,꿈꾸는다락방2015,22.02.11.,제품 안전하게 잘 받았습니다.기존 갤럭시탭은 펜이 없어서 아쉬운 부분이 많았습니다그립감도 종이에 쓰느것 처럼 잘 써지고 화질도 선명해서 좋습니다화면이 커서 인강보기에도 좋습니다.다,"제품 안전하게 잘 받았습니다.
기존 갤럭시탭은 펜이 없어서 아쉬운 부분이 많았습니다
그립감도 종이에 쓰느것 처럼 잘 써지고 화질도 선명해서 좋습니다
화면이 커서 인강보기에도 좋습니다.
다만 크고 무게감이 있어서 놓칠까봐 불안하긴 합니다."
삼성전자 갤럭시탭S7 FE (SM-T733N) Wi-Fi 64GB,5,삼성공식파트너 포디아이,21.11.12.,제 첫 새 태블릿이에요!!매번 책 들고 다니고 인쇄하는 게 불편해서 사고 싶다 생각했는데 드디어 사게 되었네요 ㅎㅎpdf에 메모도 하고 필기도 해봤는데 신세계네요.화면 커서 좋아요,"제 첫 새 태블릿이에요!!
매번 책 들고 다니고 인쇄하는 게 불편해서 사고 싶다 생각했는데 드디어 사게 되었네요 ㅎㅎ
pdf에 메모도 하고 필기도 해봤는데 신세계네요.

화면 커서 좋아요.
배송 빨라요.
필기 잘 돼요. (생각보다 더 필기감이 좋아 놀랐어요ㅋㅋ)
들고 있으면 손목 아파서 받침대 필수예요.
화면회전이 조금 느려요.
이어폰 단자가 없어요. 무선이어폰 있지만요.

오래오래 썼으면 좋겠어요.
(삼성이 워낙 물건이 튼튼해서 오래 쓸 것 같긴 하지만요 ㅎㅎ)"
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.16.,"14일에 주문, 16일에 받았습니다.","예약구매 물량이 많을텐데 판매자분이 빨리 보내준 덕에 생각보다 빨리 받아서 세팅 싹 하고 사은품 신청 잘 했습니다. 힐링쉴드 필름이 함께 들어있어서 받자마자 바로 붙였고요~~~세팅하고 보니 크기도 제 목적에는 적당하고, 얇고 많이 무겁지 않아서 좋네요! 충전기는 아직 못 받았는데 따로 오는 것 같습니다."
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,위메프,22.02.17.,메모리가 12G라서 부팅속도가 많이 빠르네요. 슬림하고 가벼워서 좋아요. 한컴오피스를 다운 받으니 오피스작업도 무난히 처리가 ...,메모리가 12G라서 부팅속도가 많이 빠르네요. 슬림하고 가벼워서 좋아요. 한컴오피스를 다운 받으니 오피스작업도 무난히 처리가 되네요. 캐드파일도 무난하고 빠르게 열립니다. 노트북보다 빠른 느낌이에요. 사전예약 사은품은 그닥 효율적이지는 않네요. 키보드커버만 할인혜택이 좋고요. 한컴오피스 사용되는 점..이외는 아쉽네요.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,1,삼성공식파트너 포디아이,22.02.17.,상품의 문제는 없는데 사은품(물론 무료로 주시는 거지만) 보호필름이 잘못와서 전화했는데.. 이후의 대응이 넘 맘에 안드네요.. 며칠동안 통화중 또는 계속 기다림.. 결국 포기..,상품의 문제는 없는데 사은품(물론 무료로 주시는 거지만) 보호필름이 잘못와서 전화했는데.. 이후의 대응이 넘 맘에 안드네요.. 며칠동안 통화중 또는 계속 기다림.. 결국 포기.. 1:1문의는 미답변상태.. 최악이네요.. 바빠서 그런지는 모르지만 아예 연락자체가 막혀서 소통이 안됩니다.. 결국 따로 필름 구매했네요..ㅜ
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.03.08.,빠른 배송에 원하는 물건 잘 샀습니다.,공홈 재고가 모두 소진된 상태여서 못사고 있다가재고가 있는 것 같아서 주문 넣었습니다.다행이 원하는 모델 재고가 있어서 구입할 수 있었습니다.배송은 엄청 빨랐습니다.월요일 오전에 주문을 넣었는데당일 출고가 되어서 화요일날 오전에 받았습니다.배송도 우체국배송이라 걱정없이 받을 수 있었습니다.봉인도 문제가 없었으며 새상품 이였고 테두리 등등 확인하고 이상이 없어서 보호필름 붙이고 세팅하고 있습니다^^잘 사용하겠습니다~
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.03.02.,다른 리뷰보면 다 필름도 같이있어서 사은품으로 주는건줄 알고 따로 주문을 안했었는데 사전구매만 주는거였나보더라구요아직 케이스도 없어서 불안한데 보호필름도 없으니 진짜 조심조심쓰고,"다른 리뷰보면 다 필름도 같이있어서 사은품으로 주는건줄 알고 따로 주문을 안했었는데 사전구매만 주는거였나보더라구요
아직 케이스도 없어서 불안한데 보호필름도 없으니 진짜 조심조심쓰고 있어야겠네요ㅋㅋ
제품은 마음에 듭니다"
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 엠피나비,22.03.04.,"S8+ 완전 좋아요.조금 아쉬운건 바로 할인된 가격에 옵션인 키보드, 파우치를 함께 못하고 배송후 유심 등록후 가능하다는것 알고 계시고요","S8+ 완전 좋아요.
조금 아쉬운건 바로 할인된 가격에 옵션인 키보드, 파우치를 함께 못하고 배송후 유심 등록후 가능하다는것 알고 계시고요"
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.18.,굿,생각보다 일찍 받았어요~! 역시 어두운색상이라 지문이...ㅎㅎ제가 구매할때만해도 핑크 가능해서 핑크할까하다 그래파이트 선택했는데핑크도 넘 예뻤을 것 같아용
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,SSG닷컴,22.02.26.,좀 기다렸지만 잘받았음. 고민하다 s8+샀는데 오래들고,좀 기다렸지만 잘받았음. 고민하다 s8+샀는데 오래들고 다니기에는 약간 무게감 있음. 화면은 좀더 커서 좋기는 함. 여튼 만족
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.15.,제품 좋아요,제품 엄청 좋네요. 10일 오후 3시쯤 주문하여 14일날 물건 수령했네요. 순차배송 진행되어 좀 늦게받는게 아쉬웠지만 제품이 너무 좋아서 만족합니다.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,4,G마켓,22.02.15.,좋아요,박스가 좀 찌그러져서 왔는데 제품자체엔 문제없어서 쓰려구요 ㅎㅎ 색상도 이쁘구 좋아요👍
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,3,하이마트쇼핑몰,22.02.16.,사전 예약해서 오늘 받았습니다.,"사전 예약해서 오늘 받았습니다. 사용해 보고 업데이트 예정입니다.
제품을 보호하기 위한 종이 포장지가 뜯겨 있었네요. 조금 찜찜하네요."
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,롯데ON,22.02.16.,와 제품 완전 좋아요. ^^ 꼼꼼히,와 제품 완전 좋아요. ^^ 꼼꼼히 포장해주셔서 감사하구요. 잘 사용할게요. 판매자님 ♥
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.02.16.,배송이 빠르게 와사어요 그리고 포장도 잘되있었어요.파손없이 온게 좋았습니다.그리고 보호필름도 와서 잘 사용하겠습니다.겔럭시탭 s8 플러스로 구매하기를 잘했네요.,"배송이 빠르게 와사어요 그리고 포장도 잘되있었어요.
파손없이 온게 좋았습니다.
그리고 보호필름도 와서 잘 사용하겠습니다.
겔럭시탭 s8 플러스로 구매하기를 잘했네요."
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.03.02.,갤럭시탭s8플러스5g 256g,우체국택배가직접전달해줘서좋았고요필름이아직않와서박스만개봉해봤어요.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.03.03.,아주 빠른 배송에 감동,디프와 일렉트로 마트 이곳 저곳 다니면서언제쯤 재고 확보가 가능한지 물어보고 가격도 비교해봤는데결론적으로는 가장 싸고 가장 빨리 수령할 수 있었어요포장도 잘 해주셨어요 감사합니다!
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,위메프,22.02.15.,배송이 엄청 빨라요 기대 이상 입니다. 아이가 어찌나 좋아하던지 요.,배송이 엄청 빨라요 기대 이상 입니다. 아이가 어찌나 좋아하던지 요.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.14.,조으다,두달 기다리다 겟. 좋습니다~ 좋구요~~ 근데 충전기가 없는게 에러.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,신세계몰,22.02.28.,어얼리어댑터인 남편이 주문했어요. 만족스러워 하는 것,어얼리어댑터인 남편이 주문했어요. 만족스러워 하는 것 같아요.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.02.14.,굿 이쁘고가볍고 근데 필름이 펜슬 쓰기엔 부드럽지 않은듯해요,굿 이쁘고가볍고 근데 필름이 펜슬 쓰기엔 부드럽지 않은듯해요
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 다담INC,22.02.14.,와... 이게 몇년만에 갤럭시.태블릿인지... 완전 설렙니다 ㅠㅠ,와... 이게 몇년만에 갤럭시.태블릿인지... 완전 설렙니다 ㅠㅠ
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,롯데ON,22.03.09.,배송도 무난하고 튼튼한 포장까지 기기,배송도 무난하고 튼튼한 포장까지 기기도 이상없습니다. 유심 끼워서 바로 사용중 만족합니다.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.13.,좋아요,잘 받았어요 지금까지 테스트로는 이상없이 잘되네요
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,롯데ON,22.03.05.,빠른 배송~~ 사이즈 고민 했지만 슬,"빠른 배송~~ 사이즈 고민 했지만
슬림해서 적당합니다"
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,롯데ON,22.02.13.,신제품을 이렇게 빨리 받을수있다니 넘,신제품을 이렇게 빨리 받을수있다니 넘 좋아용~!
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.02.18.,생각보다 빨리 와서 좋았습니다 잘 쓸게요 ㅎㅎ,생각보다 빨리 와서 좋았습니다 잘 쓸게요 ㅎㅎ
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.14.,탭s8 짱,삼품은 마음에들어요 배송은 안좋아요....
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,하이마트쇼핑몰,22.02.20.,휴대할 수 있는 한계에서 최고의,휴대할 수 있는 한계에서 최고의 생산성
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,옥션,22.02.17.,빠르게 하루만에 받았습니다 번창하세요,빠르게 하루만에 받았습니다 번창하세요
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.02.18.,포장 및 상품 잘 왔어요~~잘 사용할께요~,"포장 및 상품 잘 왔어요~~
잘 사용할께요~"
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.27.,잘 받았습니다 . . . 너무 좋아요 . . . ^^,잘 받았습니다 . . . 너무 좋아요 . . . ^^
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.02.21.,잘 받았습니다. 생각보다 빨리 왔네요.,잘 받았습니다. 생각보다 빨리 왔네요.
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.19.,기다리다가 목 빠지는줄 알았네요,이제 침대에서 누워서 영상 크게 볼듯!
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.03.01.,안전한 배송에 만족할만한 제품입니다,안전한 배송에 만족할만한 제품입니다
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.12.,아 멋찜 폭발요~~,예약구매하려고 대기타고여기서 구매했는데가격적 메리트 확실했습니당!
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.22.,정말 편하고 좋아요,이것 저것 다 할 수 있어서 너무 좋네요사은품 키보드 북커버도 너무 마음에 들어요
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.14.,갤탭8+,좋아요 색깔도 마음에 들고 잘샀어요
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,G마켓,22.02.17.,최고,사전예약무조건해야됩니다 최고예용
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 포디아이,22.03.03.,왔습니다 목 빠지는줄 알았어요ㅋㅋ,왔습니다 목 빠지는줄 알았어요ㅋㅋ
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,옥션,22.02.17.,사전예약은 처음이지만 기분 좋네요,사전예약은 처음이지만 기분 좋네요
삼성전자 갤럭시탭 S8+ SM-X806 5G 256GB,5,삼성공식파트너 다담INC,22.02.28.,예상만큼 성능도 좋고 마음에들어요,예상만큼 성능도 좋고 마음에들어요
Apple 아이패드 에어 4세대 WIFI 64G,5,위메프,20.11.20.,이제까지 저가태블릿에서부터 고가의 태블릿까지,"이제까지 저가태블릿에서부터 고가의 태블릿까지
두루두루써본 저의
“이정도는 되야 기본적으로 태블릿을 만족하고 잘 쓸수있겠다”
라고 생각하는 기본적인 기준은 1.디스플레이의 품질
2. 스피커의 품질 3. 소프트웨어가 버벅거리지않는등과 같은
최적화 및 성능 4. 배터리 5. 필기를 우선시하는 사람의 경우에는
필기 및 펜 사용과 관련된 편의성 6. 가격입니다

실제 제품사용후 후기입니다

1. 태블릿은 큰화면을 오랫동안 사용하며 계속 보고
있어야 하는 만큼 디스플레이에 대한 품질이 가장 체감되는데요
아이패드 에어4세대에는 제가 있는 공간의 빛에 따라
아이패드가 자동으로 화면의 색감을 조절해주는 “트루톤”이라는
기능이 들어가 있어서 타 태블릿을 사용할때보다
더 편안하게 화면을 볼수있어서 좋았어요.
또한 태블릿 치고는 베젤이 얇게 나와서 똑같은 부피를 가진
태블릿보다 더 화면을 더 크게 볼수있어서 좋았어요.
색감등을 더 풍부하고 깊게 표현해주는 P3 를 지원해서
4k 영상을 보는데 진짜 바로 앞앞에 보는 것 처럼 정확하고
편안하게 볼수있어서 눈호강하면서 봤네요

2. 태블릿으로 영상시청도 많이 하는 만큼 빵빵한 스피커의
성능또한 고려할 수밖에 없는데요. 4개의 스피커가
아닌건 아쉽지만 2개의 스피커가 스테레오로 배분되어있어
좌,우 소리를 구분하여 2개의 스피커를 가진 것 중에서는
베이스도 웅장하고 높은 음이나 소리를 크게 틀어도 찢어지거나
불안정한 소리없이 충분히 좋은 소리를 내주어서 좋아요

3. 애플은 최적화가 잘되있어서 사용시 버벅거림없이 부드럽게
잘 작동되서 만족하는데 거기다가 A 14 Bionic 칩셋이 들어가있어서
향후 3~4년 사용해도 버벅임 없이 잘작동될거 같아서 두고두고
오래 쓸 생각이예요

4. 백그라운드앱 off 설정후 밝기 50%, 볼륨 40%정도로 해놓고
일상적으로 사용시 대략적으로 7시간 정도 나오네요.
배터리야 오래 가면 좋지만 요즘에는 보조 배터리나
고속충전기도 많이 나왔으니 크게 신경쓸정도는 아니였어요.

5. 애플은 필기와 관련된 앱들이 잘되있어서 당장 필기를
안하더라도 나중에 필기를 하고싶으면 호환 펜과 앱만
깔면 되고 또 애플 펜슬 2세대를 지원한다는 장점또한 있어서 매력적이네요.

6. 물론 약 77만원이 가격이 싼 것은 아니지만 다른
태블릿에서는 느낄수없는 우수한 디스플레이및 상당한
스피커의 성능, 애플 최신 칩셋을 적용해 앞으로 두고두고
오래쓸수있어서 오히려 경제적일수도 있다는점 ,또 접근하기 쉽고
편리한 필기환경등 아마 사람들이 태블릿을 사는데 있어서 고려할
모든것들을 다 충족시키고도 남는다는 점에서
애플 아이패드 에어 4세대는 2020년의 적절한 태블릿 선택지같네요"
Apple 아이패드 에어 4세대 WIFI 64G,5,애플 공식 브랜드스토어,21.09.30.,"고민은 배송만 늦출 뿐.. 사실 아이패드가 엄청나게 미친듯이 필요해서 산 건 아니고.. 단순 취미용으로 갖고 싶었어요. 노트북 들고 다니는 것도 무겁고 번거롭고, 핸드폰으로 대체하","고민은 배송만 늦출 뿐.. 사실 아이패드가 엄청나게 미친듯이 필요해서 산 건 아니고.. 단순 취미용으로 갖고 싶었어요. 노트북 들고 다니는 것도 무겁고 번거롭고, 핸드폰으로 대체하자니 화면이 너무 작아서 찾아본 대안은 태블릿밖에 없더라고요. 애플 제품을 살면서 단 한번도 사용한 적이 없어서 처음엔 갤탭으로 가려고 했으나.. 취미로 낙서+IOS에 대한 궁금증+필기감+아이패드에만 쓸 수 있는 어플.. 등등을 종합해서 에어4를 구입했습니다. 아주 만족하네요.

산지 3주? 정도 된 것 같은데 쓱 그냥 바라만 봐도 좋네요ㅋ 사실 글 쓰려고 산건데 그림을 더 많이 그리는 것 같습니다. 크리에이터들이 왜 아이패드 많이 쓰는지 알겠어요. 인터넷 서핑할 때도 화면 커서 좋고 스피커도 좋네요. 추석 이벤트로 나름 저렴하게 구매했습니다. 공홈에서 사서 기분 좋아요.

배송도 아주 꼼꼼하게 잘 왔습니다. 상자 찌그러진 거 하나도 없었네요. 양품 테스트 다들 하시길래 해봤는데 문제되는 것도 없네요. 스카이블루 색 진짜 예쁩니다.. 스페이스 그레이 사려다가 스카이블루 실물 보고 마음 바꿨어요. 색깔 고민이신 분들 꼭 직접 보고 구매하세요!"
Apple 아이패드 에어 4세대 WIFI 64G,5,신세계몰,20.12.13.,"국민카드로 719,000원에 샀어야 했습니다. 아니 여기 하는거 보면 직구 하던지 그냥 코스트코에서 749,000원에 샀어야 했습니다. Ssg페이로 구매하면 25,000원 돌려","국민카드로 719,000원에 샀어야 했습니다.
아니 여기 하는거 보면 직구 하던지 그냥 코스트코에서 749,000원에 샀어야 했습니다.
Ssg페이로 구매하면 25,000원 돌려준다기에 아무 생각 없이 ssg.com 카드와 ssg 페이로 샀습니다
그런데 간편가입회원은 참여할 수 없다네요?
사기 전에는 응모도 안되고 ssg페이 써야 한다는 것만 대문짝만하게 광고하더니
구입해서 이벤트 참여하려니까 이제서야 이걸 알려준다고요?
1:1상담했더니 깨알같은 글씨 클릭해서 팝업창으로 봐야만 하는 유의사항에 다 적어뒀으니 고지의무가 이행되었고 사측 책임은 없다고 합니다.
다른 얘기지만 인플루언서(라 쓰고 팔이피플이라 부르는) 뒷광고 규제 시에도 광고라는 표시 등은 게시물과 함께 한눈에 알아볼 수 있어야 합니다
혜택을 제한하는 유의사항은 팝업으로 할게 아니라 홍보문과 함께 게시했어야 합니다
스크롤 무한으로 할 수 있지 않습니까
유인은 적극적으로 혜택은 소극적으로 우리나라 기업의 전형적인 행태를 체감해서 씁쓸할 따름입니다
그리고 간편회원과 통합회원의 차이는 무엇입니까
Ssg.com 카드 발급받아 ssg페이까지 쓰는데
이제 쓱닷컴 카드 자르렵니다. 이런 식으로 영업하는 기업은 불매는 못해도 내 스스로 구매를 불편하게 만들겠습니다."
Apple 아이패드 에어 4세대 WIFI 64G,5,SSG닷컴,20.12.13.,"국민카드로 719,000원에 샀어야 했습니다. 아니","국민카드로 719,000원에 샀어야 했습니다.
아니 여기 하는거 보면 직구 하던지 그냥 코스트코에서 749,000원에 샀어야 했습니다.
Ssg페이로 구매하면 25,000원 돌려준다기에 아무 생각 없이 ssg.com 카드와 ssg 페이로 샀습니다
그런데 간편가입회원은 참여할 수 없다네요?
사기 전에는 응모도 안되고 ssg페이 써야 한다는 것만 대문짝만하게 광고하더니
구입해서 이벤트 참여하려니까 이제서야 이걸 알려준다고요?
1:1상담했더니 깨알같은 글씨 클릭해서 팝업창으로 봐야만 하는 유의사항에 다 적어뒀으니 고지의무가 이행되었고 사측 책임은 없다고 합니다.
다른 얘기지만 인플루언서(라 쓰고 팔이피플이라 부르는) 뒷광고 규제 시에도 광고라는 표시 등은 게시물과 함께 한눈에 알아볼 수 있어야 합니다
혜택을 제한하는 유의사항은 팝업으로 할게 아니라 홍보문과 함께 게시했어야 합니다
스크롤 무한으로 할 수 있지 않습니까
유인은 적극적으로 혜택은 소극적으로 우리나라 기업의 전형적인 행태를 체감해서 씁쓸할 따름입니다
그리고 간편회원과 통합회원의 차이는 무엇입니까
Ssg.com 카드 발급받아 ssg페이까지 쓰는데
이제 쓱닷컴 카드 자르렵니다. 이런 식으로 영업하는 기업은 불매는 못해도 내 스스로 구매를 불편하게 만들겠습니다."
Apple 아이패드 에어 4세대 WIFI 64G,5,애플 공식 브랜드스토어,21.01.30.,에어2사용한지 6년이 넘었는데 아직까지 큰 문제없이 잘사용하고있습니다. 그런데 그림용으로 애플펜슬이 쓰고싶어서 프로를 사야하나 하고있었는데 에어4가 사용이 가능하더라구요. 아이패드,"에어2사용한지 6년이 넘었는데 아직까지 큰 문제없이 잘사용하고있습니다. 그런데 그림용으로 애플펜슬이 쓰고싶어서 프로를 사야하나 하고있었는데 에어4가 사용이 가능하더라구요. 아이패드로 특별히 성능이 필요한 일은 하지않아서 프로는 저한테 사치인듯해서 걍 에어 시리즈로 업그레이드했습니다. 용량도 그전에 64기가 썼는데 6년동안 모자란적은 없어서 굳이 돈을 더 쓰지않기로했어요.
애플펜슬 확실히 좋네요.^__^그림그릴 맛이 나네요. 팁이 잘 딿는다는 말을 들었는데 추가로 구입한 필름에 포함된 팁을 씌우니까 필기감이 너무 별로네요 ㅠ 종이질감필름은 손으로 만질때 감각은 별론데 펜슬감각은 참좋네요.
색상도 너무 예쁘고 볼때마다 기분 좋을거같아용^^
+배송은 금욜오전에 주문해서 다음날 토욜오후에 받았습니다.. 진짜 빨리오네요. 굿"
Apple 아이패드 에어 4세대 WIFI 64G,1,애플 공식 브랜드스토어,21.10.27.,뽑기운이 나쁜편이아닌지 제품자체는 그냥저냥 쓸만한게옴ㅡ그렇다고 양품은 아님.그러나 애플공식 인증 스토어라고 하여 공홈과같은 AS절차가 진행되길 기대하고 쿠팡이나 타 사이트보다 비,"뽑기운이 나쁜편이아닌지 제품자체는 그냥저냥 쓸만한게옴ㅡ그렇다고 양품은 아님.
그러나 애플공식 인증 스토어라고 하여
공홈과같은 AS절차가 진행되길 기대하고
쿠팡이나 타 사이트보다 비싸도 구매하였던것인데
-심지어 색도 타사이트가 더 다양함-
AS생기거나 불량시 공홈서 구매한것과 같은 절차가 아닌 타사이트에서 구매한것과 같은 절차진행이 된다는걸알았을때 기분이 몹시나쁘고 소비자를 기만한 느낌
제대로 알아보지않은-내 잘못도있으나
일단 애플공식인증스토어 란 이름으로 판매하여 소비자를 오인하게 만드는것도 문제가있다고 생각함
정확한 내용적시는 이곳에서 구매한제품이 애플 공홈서 구매한것과 같은 AS가 이루어지지않는다는 점을 큰 글씨로 안내바란다.
5만원이더 비싸고 쿠팡보다 배송도느리고
스스로 호갱짓 했다는게 넘 화가나고 짜증이난다.

쿠팡 반품절차도깔끔하고 배송도 빠르고 색도 많다.
에어4사실분들이라면 그곳이나 차라리 공홈서 사길바란다.
5만원이란 돈으로 유료앱을 사는게 삶에 도움이 된다."
Apple 아이패드 에어 4세대 WIFI 64G,5,애플 공식 브랜드스토어,22.01.20.,한참 고민하다가 여기가 공식리셀러몰이기도 하고 적립혜택도 좋아서 구매했습니다!스페이스그레이로 선택하길 잘했네요!고급스럽고 차분한 색상이라 마음에 들어요~모서리에 본드 자국이 약간,"한참 고민하다가 여기가 공식리셀러몰이기도 하고 적립혜택도 좋아서 구매했습니다!
스페이스그레이로 선택하길 잘했네요!
고급스럽고 차분한 색상이라 마음에 들어요~

모서리에 본드 자국이 약간 묻어있었지만
그것 빼고는 양품입니다~
터치 한번 안 먹혀서 얼마나 식겁했던지...
조금 있으니까 바로 잘 작동되더라구요☺️

제조년월 보니까 22년 1월로 완전 최근이더라구요 배터리도 99%로 꽉 차게 충전되어 있었습니다 짱짱👍🏻

공부할 때 유용하게 사용할 것 같아서 아이패드로 코딩이나 그림처럼 새로운 공부 도전해볼 수 있어서 !

영상이나 영화볼 때 좋을 것 같습니다!
덕분에 행복하네요🤗

배송도 금방 왔습니다
~"
